numberOfPeople,numberOfChildren,squareMeters,homeType,ELECTRIC_VEHICLE,TV,DISH_WASHER,ELECTRIC_HEATING,SAUNA,CABLE_BOX,COFFEE_MACHINE,TUMBLE_DRYER,FREEZER,HOB,WASHING_MACHINE,GAME_CONSOLE,REFRIGERATOR,TOASTER,HOME_BATTERY,MICROWAVE,IRON,GRILL,COMPUTER,OVEN,ELECTRIC_SHOWER,KETTLE,energy
2.0,0.0,240.0,0,0,1,1,0,1,1,2,1,1,1,1,0,1,0,0,1,0,0,1,2,1,0,1367.31259097189
2.0,0.0,93.0,1,0,1,1,0,0,0,1,1,0,1,1,3,0,1,0,0,1,1,1,2,1,2,805.2569139209202
2.0,0.0,130.0,1,0,3,1,0,0,1,1,1,1,1,1,2,1,1,0,1,1,0,1,2,1,0,678.254772567711
1.0,0.0,75.0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,805.2569139209202
4.0,0.0,350.0,0,0,3,1,0,0,1,1,1,0,1,2,2,0,1,0,1,1,0,1,2,1,0,1123.2892348268251
5.0,2.0,92.0,1,0,5,1,0,0,1,1,1,0,1,1,1,0,1,0,1,2,1,1,2,1,0,1076.4409124959
2.0,0.0,156.0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1656.5435509130482
1.0,0.0,58.0,1,0,2,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,502.88259167622
2.0,0.0,109.48771266540643,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,1,395.29840463086873
1.0,0.0,60.0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,265.57194083447496
2.0,2.0,120.0,1,0,1,1,0,0,1,1,0,2,1,1,0,2,1,0,1,1,0,1,2,1,0,1006.4408042090176
2.0,0.0,140.0,0,0,3,1,1,0,1,1,1,0,1,1,2,0,1,1,1,1,1,1,1,1,0,823.37116310657
1.0,0.0,90.0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,557.8121813893249
4.0,3.0,90.0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1003.3014408458606
2.0,0.0,58.0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,379.3170508500097
3.0,1.0,180.0,0,0,4,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3,1,0,1026.11341964162
1.0,0.0,120.0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,578.19025332108
7.0,3.0,200.0,0,1,4,2,0,0,1,1,2,2,2,2,0,3,2,0,2,1,1,1,1,2,0,1992.7548377869605
4.0,0.0,100.0,0,0,4,1,0,0,3,1,1,1,0,1,3,2,1,0,1,0,0,1,4,1,0,1563.4834010997606
2.0,0.0,140.0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,707.6570800725281
3.0,1.0,75.0,1,0,2,1,0,0,1,1,1,0,1,1,0,2,0,0,1,1,0,1,1,1,0,1578.3308666402809
1.0,0.0,48.0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,488.1091239281438
3.0,1.0,150.0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,809.6158624412479
2.0,0.0,100.0,0,0,3,2,0,0,1,2,2,2,2,2,0,2,1,0,1,2,0,1,1,2,1,1541.749731839893
2.0,0.0,79.0,1,0,3,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,988.9292486473288
4.0,2.0,115.0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,765.5974621120273
3.0,1.0,140.0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,607.0571591194835
3.0,0.0,110.0,0,0,3,1,0,0,3,1,1,1,1,1,1,1,1,0,1,1,1,1,3,1,0,1517.293798744256
1.0,0.0,70.0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1299.1142710014124
2.0,0.0,120.0,0,0,3,1,2,0,1,1,1,1,1,1,2,1,1,0,1,1,0,1,0,1,0,843.400659145593
3.0,0.0,164.0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1136.037439447781
2.0,0.0,135.0,0,0,2,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,652.4933347181711
2.0,0.0,76.0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,121.77756045885
3.0,1.0,100.0,1,0,2,1,0,0,2,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,659.8293061123861
2.0,0.0,100.0,0,0,2,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,446.7480063486
1.0,0.0,37.0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,2,1,1,259.4631460063345
3.0,1.0,82.0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,720.5541636103715
3.0,1.0,125.0,1,0,1,1,2,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,707.2542937327651
5.0,3.0,180.0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,888.0671079201619
5.0,1.0,73.0,1,0,2,1,0,0,0,1,1,0,1,1,3,0,1,0,1,0,0,1,4,1,0,1551.645537911779
3.0,1.0,104.0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,702.6144120478313
4.0,2.0,130.0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,665.1534848523136
4.0,2.0,200.0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,925.050126269044
2.0,0.0,125.0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,664.1104007673455
6.0,4.0,160.0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,2,1,0,1077.4515161006912
2.0,0.0,53.0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,339.77301993073644
4.0,2.0,125.0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1177.1633008389704
2.0,0.0,76.0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,465.4391105306556
4.0,2.0,190.0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,692.7747993114388
3.0,1.0,80.0,1,0,1,1,0,0,0,0,0,0,1,1,2,0,1,0,1,0,1,1,2,1,0,660.7942117588927
2.0,0.0,120.0,0,0,3,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,2,1,0,865.9654744016194
3.0,1.0,109.48771266540643,0,0,3,1,0,0,2,1,1,1,1,2,2,1,1,0,1,1,0,1,1,1,0,1591.87882398765
